Zip.Code,Population
13490,"1,757"
13428 and 14033,"1,754"
11005 and 12455,"1,749"
13026,"1,734"
12062,"1,730"
13024,"1,723"
13302,"1,722"
12461,"1,718"
14481,"1,709"
14013,"1,708"
14028,"1,703"
13652,"1,696"
12207,"1,688"
13650,"1,687"
14203 and 12116,"1,666"
13054,"1,665"
14889,"1,659"
12059,"1,657"
12058,"1,656"
12935,"1,651"
12733,"1,642"
12516,"1,640"
12067,"1,635"
12093,"1,632"
14167,"1,621"
13111,"1,616"
12974,"1,602"
12121 and 12052,"1,597"
12463,"1,594"
13304,"1,593"
14550,"1,589"
10162,"1,584"
12764,"1,583"
12853,"1,577"
12870,"1,576"
10526,"1,572"
14024,"1,567"
13145,"1,566"
13618,"1,563"
14055 and 10922,"1,562"
12723 and 14880,"1,561"
13660 and 12486,"1,558"
13328,"1,554"
12140,"1,552"
12060,"1,551"
13809,"1,546"
13608,"1,544"
13315,"1,543"
13158,"1,539"
12451,"1,536"
12491,"1,535"
13808,"1,534"
14478,"1,526"
13052,"1,522"
13335,"1,519"
12076,"1,514"
12523,"1,512"
12086,"1,505"
12485,"1,502"
12515,"1,499"
12504,"1,498"
14591,"1,497"
10546,"1,496"
10919,"1,491"
14466,"1,482"
12472,"1,472"
14054,"1,471"
14129,"1,470"
12496,"1,463"
13680,"1,460"
13630,"1,451"
14709,"1,450"
13694,"1,441"
13477,"1,437"
12521,"1,431"
13348,"1,419"
13801,"1,413"
14804,"1,402"
13796,"1,400"
12481,"1,398"
10501,"1,394"
12993,"1,387"
12125,"1,385"
14858,"1,382"
13464,"1,378"
14778,"1,372"
12956,"1,370"
13661,"1,368"
12814,"1,354"
14477,"1,349"
14506,"1,346"
12941,"1,345"
14418,"1,333"
12917,"1,332"
13757,"1,318"
14008,"1,315"
14571,"1,313"
10596 and 14861,"1,310"
13318,"1,305"
14869,"1,302"
13122,"1,289"
14066,"1,286"
12719,"1,284"
10964,"1,283"
13807,"1,278"
12985,"1,277"
13835 and 12980,"1,276"
12726,"1,266"
14864 and 14894,"1,253"
13607,"1,247"
12592,"1,243"
14507,"1,236"
14614,"1,232"
10518,"1,231"
12502,"1,223"
12903,"1,215"
12548,"1,213"
12997,"1,199"
12932,"1,194"
12166,"1,193"
12967,"1,186"
14860,"1,182"
13635,"1,177"
11972,"1,171"
12565,"1,165"
14102,"1,163"
12913 and 13615,"1,162"
12156,"1,151"
13755 and 14753,"1,148"
13147 and 12430,"1,147"
13744,"1,143"
11932,"1,138"
14109,"1,131"
12431,"1,129"
13338 and 13334,"1,121"
12785,"1,119"
14731,"1,115"
13810,"1,114"
13303,"1,113"
14091,"1,111"
13028,"1,109"
12959,"1,108"
13684,"1,107"
13081,"1,105"
12029 and 14723,"1,104"
12960,"1,099"
12765,"1,095"
12423,"1,089"
12474,"1,082"
11569 and 14805,"1,080"
14740,"1,079"
12489,"1,078"
14855,"1,074"
13061,"1,073"
12815 and 13839,"1,072"
12468,"1,069"
13325,"1,067"
14555,"1,064"
14480 and 13368,"1,063"
12837,"1,059"
12087,"1,053"
14784,"1,040"
13780,"1,036"
14728,"1,033"
12153 and 11739,"1,027"
12046,"1,025"
12989,"1,024"
10931,"1,017"
14769,"1,013"
14822 and 14037,"1,012"
13864,"1,011"
13485,"1,009"
12746,"1,004"
13788,990
12970,984
12824,970
12934,967
11939,954
14143,940
13420,933
12028,929
12751 and 13469,926
10505,925
12406 and 11948,922
13750,919
13321,917
12734,903
12914 and 13322,902
14729 and 13355,897
12150 and 13071,895
12457 and 11930,893
10988,889
13682 and 13681,885
13731,880
12160,872
12585,870
10578,868
13486,864
12873 and 12035,856
12032,853
"10597, 12190, and 12456",851
12777,850
12942,846
13690,835
14836 and 14820,834
14842,832
14803,831
13361,813
"14897, 14815, 13319, and 12842",811
14859,804
13739,796
12768,794
12151,792
12442 and 12473,785
11959,784
14839 and 11957,782
11547,776
10527,774
12409 and 13752,771
13863,766
13672,763
13844,758
12930,756
12434,754
14825,749
12810,747
14819,745
14846,743
13072,738
12950,735
12480,733
12130 and 12863,729
14885,726
11765,723
14069,721
13406,710
12762,709
12092,706
13665,703
12136,699
12836 and 11958,698
11960,696
14777,695
11965,690
12732,689
14588 and 13489,679
12124,675
13782,665
13832,663
12464,653
12405,652
13470,649
12763,648
14872,645
13473,642
12041,638
13841,634
12857,629
12494 and 12778,628
13310,624
12120,623
12878,621
14748,619
14808 and 12861,612
12008 and 13813,609
12469,605
14816 and 14082,604
12604,603
12187,598
12860 and 14720,597
12965,596
13337,595
14754,594
12022,591
12923,589
14026,588
13155,586
14714,582
12945,581
13141,577
12418,573
13454,571
12175,570
12412 and 13802,562
14536,561
13162,560
13157,552
14511,551
12433,549
13740,547
13842,543
12419,540
12884,539
14126,531
12838,530
14841 and 12147,529
14113,523
11042,522
12503,520
14462,519
12176,517
13776,514
11947 and 13123,511
14717,505
13687,503
12952,493
12444,486
12791,485
14878 and 13313,484
12470,480
13659,479
12045,475
13163,473
12823,472
"13468, 14824, and 12410",471
13621,469
14877,465
12448,464
12517,455
12766,452
12085 and 13670,434
12432,431
12417,429
12852,428
10535,427
13437,423
10933,422
10517 and 12843,420
12750,417
12760,416
13756,414
12743 and 12847,413
12969,410
12936,409
13136,407
12574,405
13693,402
12063,400
12071,398
10914 and 12108,395
12427,392
13312,391
14061 and 12411,389
14173,387
13786,384
13153,382
12955,381
12064,380
12787,377
12017,376
"12460, 12943, and 13314",373
14486,370
12482,369
12851,368
12454 and 12998,363
13640 and 13638,362
14783,361
12513,354
13804,353
13777,352
13846,351
12164,347
12849,346
13861,343
13614,333
"13494, 13633, and 14441",332
12749,331
12738 and 12808,328
"14881, 13418, and 13483",324
12819,323
12420,318
12174,316
12475,315
11962,309
12435,308
12422,307
12177,305
13113,304
12978,303
13051,299
13484,297
12429,294
12770,293
13664,292
12453,291
12439,290
14060,289
13806,288
13103 and 13435,287
13639,286
12483,285
13410 and 12416,281
14475,280
"12424, 13678, and 14742",276
12421,274
"13636, 12786, and 12172",271
14736,270
14722 and 12844,269
12132,267
"13117, 11970, and 12975",264
14752,263
12927,262
12886,258
10975,257
12724,256
13834,253
12471 and 12452,252
12752,251
13305,249
12855,242
14856,241
